food_name,protein,iron,vitamin_c,vitamin_d,fiber,category,health_score
mango,0.8,0.2,36.0,0.0,1.6,fruit,3.3
orange,0.9,0.1,53.0,0.0,2.2,fruit,3.5
papaya,0.5,0.1,60.0,0.0,1.7,fruit,3.4
peach,0.9,0.3,6.0,0.0,1.5,fruit,3.2
pear,0.4,0.2,4.0,0.0,3.1,fruit,3.3
pineapple,0.5,0.3,47.0,0.0,1.4,fruit,3.3
plum,0.7,0.2,9.0,0.0,1.4,fruit,3.1
pomegranate,1.5,0.3,10.0,0.0,4.0,fruit,3.6
raspberry,1.2,0.7,26.0,0.0,6.5,fruit,4.1
sapota,0.4,0.8,14.0,0.0,5.3,fruit,3.7
strawberry,0.7,0.4,59.0,0.0,2.0,fruit,3.5
sugarcane juice,0.5,0.5,5.0,0.0,0.5,fruit,3.0
tender coconut water,0.7,0.3,2.0,0.0,0.5,fruit,3.0
watermelon,0.6,0.2,8.0,0.0,0.4,fruit,3.0
akki roti,3.5,1.2,2.0,0.0,2.5,grain,3.1
aloo paratha,6.0,2.2,4.0,0.0,3.0,grain,3.4
amritsari kulcha,7.0,2.5,3.0,0.0,3.0,grain,3.5
appam,2.5,0.5,0.0,0.0,1.0,grain,2.7
atta flour,12.0,3.9,0.0,0.0,10.0,grain,5.2
bajra,11.6,8.0,0.0,0.0,8.5,grain,5.0
barley,12.0,3.6,0.0,0.0,17.3,grain,6.3
basmati rice,2.6,0.2,0.0,0.0,0.5,grain,2.6
biryani,6.0,2.0,2.0,0.0,2.0,grain,3.3
bisibele bath,5.0,1.8,6.0,0.0,3.5,grain,3.4
bread,8.0,3.6,0.0,0.0,2.7,grain,3.6
bread pakora,5.0,2.0,2.0,0.0,2.0,grain,3.2
bread upma,4.5,1.5,4.0,0.0,2.5,grain,3.2
brown bread,9.0,3.8,0.0,0.0,4.0,grain,3.9
brown rice,2.6,0.4,0.0,0.0,1.8,grain,2.8
butter naan,6.0,2.5,0.0,2.0,2.0,grain,3.3
chapati,3.1,1.5,0.0,0.0,2.7,grain,3.1
cheese burst pizza,14.0,2.5,5.0,4.0,2.5,grain,4.2
cheese nachos,8.0,2.0,4.0,3.0,2.5,grain,3.6
cheese pasta,10.0,2.0,4.0,3.0,2.5,grain,3.8
cheese pizza,12.0,2.5,4.0,3.0,2.5,grain,4.0
chicken biryani,10.0,2.5,2.0,0.0,2.0,grain,3.7
coconut rice,3.5,1.5,2.0,0.0,2.5,grain,3.1
corn,3.4,0.5,6.0,0.0,2.4,grain,3.0
curd quinoa,6.0,1.5,2.0,1.5,3.0,grain,3.4
curd rice,3.5,0.5,2.0,1.5,1.0,grain,2.8
curd semiya,3.5,0.5,2.0,1.5,1.5,grain,2.9
dabeli,6.0,2.5,5.0,0.0,3.0,grain,3.4
dal khichdi,5.5,1.8,4.0,0.0,3.0,grain,3.4
dal paratha,6.0,2.5,2.0,0.0,3.5,grain,3.5
dhokla,6.0,2.0,2.0,0.0,2.5,grain,3.3
dosa,3.5,1.1,0.0,0.0,1.0,grain,2.8
double cheese burger,15.0,3.0,4.0,4.0,2.5,grain,4.3
egg dosa,6.0,1.5,2.0,1.5,1.2,grain,3.1
egg fried noodles,7.0,1.8,2.0,1.0,2.0,grain,3.4
egg fried rice,7.0,1.8,2.0,0.0,1.8,grain,3.3
fafda,6.0,2.5,1.0,0.0,2.0,grain,3.3
frankie,7.0,2.0,4.0,0.0,2.5,grain,3.5
fried rice,5.0,1.5,2.0,0.0,1.8,grain,3.1
garlic naan,6.5,2.5,2.0,0.0,2.0,grain,3.3
gobi paratha,5.0,2.0,6.0,0.0,3.5,grain,3.4
grilled sandwich,7.0,2.0,6.0,0.0,3.0,grain,3.5
handvo,7.0,3.0,6.0,0.0,4.5,grain,3.8
idiyappam,2.5,0.5,0.0,0.0,1.0,grain,2.7
idli,2.5,0.4,0.0,0.0,0.9,grain,2.7
jeera rice,3.0,0.5,2.0,0.0,1.0,grain,2.8
jowar,10.0,4.1,0.0,0.0,6.7,grain,4.4
kachori,6.0,2.5,2.0,0.0,3.0,grain,3.4
kashmiri pulao,5.5,1.7,10.0,0.0,3.0,grain,3.4
khandvi,5.0,1.5,2.0,0.0,2.0,grain,3.2
khichdi,4.5,1.5,3.0,0.0,2.5,grain,3.2
kulcha,6.0,2.0,0.0,0.0,2.0,grain,3.3
lachha paratha,5.0,2.0,0.0,0.0,2.5,grain,3.2
lemon rice,3.0,0.6,8.0,0.0,1.2,grain,2.8
makki di roti,4.0,1.5,0.0,0.0,3.0,grain,3.2
masala dosa,5.0,1.5,2.0,0.0,2.0,grain,3.2
masala khichdi,6.0,2.0,5.0,0.0,3.5,grain,3.5
masala oats,6.0,2.5,5.0,0.0,4.5,grain,3.7
medu vada,6.0,2.0,2.0,0.0,3.0,grain,3.4
methi paratha,5.0,2.0,5.0,0.0,3.5,grain,3.4
millet,11.0,3.0,0.0,0.0,8.5,grain,4.8
missi roti,5.0,2.0,0.0,0.0,3.5,grain,3.4
moong dal khichdi,5.0,1.5,3.0,0.0,3.0,grain,3.3
multi grain dosa,5.5,2.5,2.0,0.0,3.5,grain,3.5
mushroom pulao,6.0,1.5,5.0,2.0,2.5,grain,3.3
naan,6.0,2.5,0.0,0.0,2.0,grain,3.3
neer dosa,2.5,0.5,0.0,0.0,0.5,grain,2.6
noodles,6.0,1.5,1.0,0.0,2.0,grain,3.2
oatmeal,11.0,4.5,0.0,0.0,9.0,grain,4.9
oats,13.2,4.7,0.0,0.0,10.6,grain,5.4
oats idli,5.0,1.8,3.0,0.0,3.5,grain,3.4
oats upma,5.5,2.0,6.0,0.0,4.0,grain,3.5
onion uttapam,4.5,1.2,5.0,0.0,2.5,grain,3.2
paratha,5.0,2.0,0.0,0.0,3.0,grain,3.3
peas pulao,5.0,1.6,8.0,0.0,3.0,grain,3.3
pesarattu,6.0,2.0,2.0,0.0,2.5,grain,3.3
phulka,3.0,1.2,0.0,0.0,2.5,grain,3.0
poha,3.0,0.7,1.0,0.0,2.0,grain,2.9
pongal,5.0,1.5,2.0,0.0,2.0,grain,3.2
puttu,3.0,1.0,0.0,0.0,2.0,grain,2.9
quinoa,14.0,4.6,0.0,0.0,7.0,grain,4.9
ragi,7.3,3.9,0.0,0.0,3.6,grain,3.7
ragi dosa,4.5,2.0,2.0,0.0,3.0,grain,3.3
ragi mudde,7.0,3.0,0.0,0.0,3.5,grain,3.6
rava dosa,4.0,1.2,1.0,0.0,1.5,grain,3.0
red rice,2.8,0.5,0.0,0.0,2.0,grain,2.9
red sauce pasta,7.0,2.0,6.0,0.0,2.5,grain,3.5
rice,2.7,0.2,0.0,0.0,0.4,grain,2.6
roomali roti,3.0,1.0,0.0,0.0,1.5,grain,2.8
sabudana khichdi,3.0,1.0,2.0,0.0,1.5,grain,2.9
samosa,5.0,1.5,2.0,0.0,2.0,grain,3.2
schezwan fried rice,6.0,2.0,5.0,0.0,2.5,grain,3.4
schezwan noodles,6.0,2.0,4.0,0.0,2.5,grain,3.4
set dosa,3.5,1.0,1.0,0.0,1.2,grain,2.9
tamarind rice,3.2,0.7,6.0,0.0,1.5,grain,2.9
thepla,4.0,1.2,3.0,0.0,2.5,grain,3.1
tomato uttapam,4.5,1.2,7.0,0.0,2.5,grain,3.2
upma,4.0,1.0,2.0,0.0,2.0,grain,3.0
vada pav,6.0,2.0,2.0,0.0,2.5,grain,3.3
veg biryani,5.5,2.0,3.0,0.0,3.0,grain,3.4
veg biryani hyderabadi,6.0,2.0,5.0,0.0,3.0,grain,3.4
veg burger,8.0,2.0,4.0,0.0,3.0,grain,3.6
veg burger deluxe,9.0,2.0,5.0,0.0,3.0,grain,3.7
veg club sandwich,7.0,2.0,5.0,0.0,3.0,grain,3.5
veg fried momos,6.0,1.5,6.0,0.0,2.5,grain,3.4
veg fried rice,4.5,1.5,3.0,0.0,2.0,grain,3.1
veg fried rice chinese,5.0,1.5,5.0,0.0,2.0,grain,3.2
veg hakka noodles,5.0,1.5,5.0,0.0,2.5,grain,3.2
veg hot dog,8.0,2.0,4.0,0.0,2.5,grain,3.6
veg lasagna,9.0,2.5,6.0,2.0,3.0,grain,3.8
veg macaroni,6.0,2.0,5.0,0.0,2.5,grain,3.4
veg momos,5.0,1.5,6.0,0.0,2.0,grain,3.2
veg nachos,6.0,2.0,5.0,0.0,2.5,grain,3.4
veg noodles,5.0,1.4,3.0,0.0,2.5,grain,3.2
veg noodles chinese,5.0,1.5,5.0,0.0,2.5,grain,3.2
veg pasta,6.0,2.0,5.0,0.0,2.5,grain,3.4
veg pizza,10.0,2.5,5.0,2.0,3.0,grain,3.9
veg pizza deluxe,11.0,2.5,6.0,2.0,3.0,grain,4.0
veg puff,5.0,1.5,3.0,0.0,2.5,grain,3.2
veg pulao masala,5.5,1.8,7.0,0.0,2.5,grain,3.3
veg quesadilla,9.0,2.5,5.0,2.0,3.0,grain,3.8
veg roll,6.0,1.8,6.0,0.0,3.0,grain,3.4
veg sandwich,6.0,2.0,8.0,0.0,3.5,grain,3.5
veg shawarma,8.0,2.0,5.0,0.0,3.0,grain,3.6
veg spring roll,5.0,1.5,6.0,0.0,2.5,grain,3.2
veg steamed momos,5.0,1.5,6.0,0.0,2.0,grain,3.2
veg taco,7.0,2.0,6.0,0.0,3.0,grain,3.5
veg tehri,5.0,1.5,6.0,0.0,2.5,grain,3.2
veg wrap,7.0,2.0,5.0,0.0,3.0,grain,3.5
vegetable khichdi,5.5,1.6,5.0,0.0,3.5,grain,3.5
vegetable pulao,4.5,1.2,10.0,0.0,2.5,grain,3.2
vegetable quinoa,7.0,2.0,8.0,0.0,4.0,grain,3.7
vegetable uttapam,5.0,1.5,6.0,0.0,3.0,grain,3.3
ven pongal,5.0,1.5,2.0,0.0,2.0,grain,3.2
vermicelli upma,4.0,1.0,3.0,0.0,2.0,grain,3.0
wheat,13.0,3.6,0.0,0.0,12.2,grain,5.6
white sauce pasta,8.0,2.0,4.0,2.0,2.5,grain,3.6
whole wheat bread,11.0,3.9,0.0,0.0,6.0,grain,4.4
adai dosa,7.0,3.0,2.0,0.0,4.5,legume,4.3
black beans,21.0,5.0,3.0,0.0,15.0,legume,7.4
black chana curry,9.0,3.5,5.0,0.0,6.0,legume,4.8
boiled peanuts,13.0,2.5,0.0,0.0,8.0,legume,5.4
chana chaat,9.0,4.0,10.0,0.0,6.0,legume,4.8
chana masala,10.0,4.0,6.0,0.0,10.0,legume,5.5
chickpeas,19.0,6.2,2.0,0.0,17.0,legume,7.5
chole,18.0,6.0,3.0,0.0,15.0,legume,7.1
chole bhature,10.0,4.5,4.0,0.0,5.0,legume,4.7
dal,9.0,3.0,2.0,0.0,6.0,legume,4.7
dal fry,8.0,2.5,4.0,0.0,5.0,legume,4.5
dal makhani,9.0,3.0,5.0,1.0,6.0,legume,4.7
dal tadka,8.0,2.5,4.0,0.0,5.0,legume,4.5
falafel,8.0,3.0,4.0,0.0,5.0,legume,4.5
falafel wrap,9.0,3.0,4.0,0.0,4.0,legume,4.4
green gram,7.0,2.5,2.0,0.0,7.0,legume,4.7
hummus,7.0,2.5,3.0,0.0,4.0,legume,4.2
kadala curry,8.0,3.5,4.0,0.0,6.0,legume,4.6
kidney beans,24.0,8.2,4.0,0.0,25.0,legume,9.3
lentil soup,6.0,2.5,5.0,0.0,4.0,legume,4.1
lobia curry,9.0,3.5,4.0,0.0,7.0,legume,4.9
masala peanuts,25.0,4.5,2.0,0.0,8.5,legume,6.8
masoor dal,9.0,3.3,4.0,0.0,8.0,legume,5.1
misal pav,7.0,3.0,10.0,0.0,4.0,legume,4.3
moong dal,7.0,2.5,2.0,0.0,7.0,legume,4.7
moong sprouts,7.0,2.5,15.0,0.0,4.0,legume,4.3
peanut chutney,6.0,2.0,2.0,0.0,3.0,legume,3.9
peanuts,26.0,4.6,0.0,0.0,8.5,legume,6.9
ragda patties,6.0,2.5,5.0,0.0,4.0,legume,4.1
rajma,24.0,8.2,4.0,0.0,25.0,legume,9.3
rajma curry,11.0,5.0,5.0,0.0,8.0,legume,5.3
roasted chana,20.0,6.0,0.0,0.0,15.0,legume,7.3
roasted peanuts,26.0,4.5,0.0,0.0,8.5,legume,6.9
sambar,4.0,1.2,6.0,0.0,2.5,legume,3.7
soybean,36.0,15.7,6.0,0.0,9.0,legume,8.3
soybean curry,36.0,15.0,6.0,0.0,9.0,legume,8.3
sprout chaat,7.0,2.5,18.0,0.0,4.0,legume,4.3
sprouts salad,7.0,2.5,15.0,0.0,4.0,legume,4.3
tadka dal,8.5,2.8,4.0,0.0,5.5,legume,4.6
toor dal,9.0,3.0,2.0,0.0,6.0,legume,4.7
urad dal,25.0,7.6,0.0,0.0,18.0,legume,8.3
white beans,21.0,6.0,2.0,0.0,13.0,legume,7.1
white chana curry,9.0,3.5,5.0,0.0,6.0,legume,4.8
dal rice,8.0,3.0,2.0,0.0,4.5,meal,3.9
roti sabzi,6.5,2.5,12.0,0.0,5.0,meal,3.8
south indian thali,12.0,4.0,15.0,1.5,6.0,meal,4.6
veg thali,15.0,5.0,25.0,2.0,8.0,meal,5.3
besan ladoo,6.0,2.0,0.0,1.5,2.0,other,3.3
bhel puri,4.0,1.2,6.0,0.0,3.0,other,3.2
biscuit,5.0,1.0,0.0,0.0,1.5,other,2.3
boondi raita,4.0,0.8,3.0,1.5,1.5,other,3.0
buttermilk masala,3.0,0.1,2.0,1.5,0.0,other,2.6
chocolate cake,4.0,2.0,0.0,0.5,1.0,other,2.9
coconut chutney,2.5,1.5,2.0,0.0,3.0,other,3.0
curd curry,3.0,0.5,3.0,2.0,1.0,other,2.8
curry leaves chutney,1.5,1.2,10.0,0.0,2.0,other,2.8
dahi puri,5.5,2.0,6.0,1.5,3.0,other,3.4
date tamarind chutney,1.5,1.5,12.0,0.0,2.0,other,2.8
falooda,4.0,1.0,2.0,1.5,1.0,other,2.9
ginger garlic chutney,2.0,1.0,8.0,0.0,2.0,other,2.9
green chilli chutney,1.5,1.0,15.0,0.0,2.0,other,2.8
gulab jamun,4.0,1.0,0.0,1.0,0.0,other,2.7
halwa,3.0,1.0,1.0,1.0,1.0,other,2.8
ice cream chocolate,4.0,0.5,0.0,2.0,0.0,other,2.7
ice cream vanilla,3.5,0.1,0.0,2.0,0.0,other,2.6
jalebi,3.0,1.0,0.0,0.0,0.5,other,2.7
jaljeera,1.0,0.5,8.0,0.0,1.0,other,2.6
kadhi pakora,5.0,1.5,4.0,2.0,1.5,other,3.1
kheer,4.0,0.5,1.0,2.0,0.0,other,2.7
kulfi,5.0,0.5,0.0,3.0,0.0,other,2.8
lassi,3.0,0.1,2.0,2.0,0.0,other,2.6
lemon soda,0.2,0.1,10.0,0.0,0.0,other,2.4
maggi noodles,7.0,3.5,0.0,0.0,1.0,other,2.5
milk chocolate,7.0,1.5,0.0,0.5,2.0,other,3.3
milk tea,2.5,0.1,0.0,1.5,0.0,other,2.5
mint chutney,1.5,0.8,20.0,0.0,1.5,other,2.8
motichoor ladoo,4.0,1.5,0.0,1.0,1.5,other,3.0
mysore pak,4.0,1.0,0.0,2.0,1.0,other,2.9
onion raita,3.0,0.5,5.0,1.5,1.0,other,2.8
pani puri,3.0,1.0,5.0,0.0,2.0,other,2.9
pastry,3.5,1.2,0.0,0.0,0.5,other,2.0
payasam,4.0,0.5,1.0,2.0,0.0,other,2.7
potato chips,6.0,1.5,15.0,0.0,3.0,other,3.5
ragda pattice,5.0,2.0,6.0,0.0,3.0,other,3.3
rasam,2.0,0.8,10.0,0.0,1.5,other,2.8
rasgulla,3.5,0.5,0.0,1.0,0.0,other,2.7
rasmalai,5.0,0.5,0.0,2.0,0.0,other,2.8
rava ladoo,4.0,1.5,0.0,0.0,1.5,other,3.0
red chilli chutney,1.5,1.0,12.0,0.0,2.0,other,2.8
salted lassi,3.0,0.1,2.0,2.0,0.0,other,2.6
semiya payasam,4.0,0.5,1.0,2.0,1.0,other,2.9
sev puri,4.0,1.5,5.0,0.0,2.5,other,3.1
soan papdi,4.0,1.0,0.0,1.5,1.0,other,2.9
sweet lassi,3.0,0.1,2.0,2.0,0.0,other,2.6
tamarind chutney,1.0,1.2,10.0,0.0,1.5,other,2.7
tomato chutney,2.0,1.0,15.0,0.0,2.0,other,2.9
veg raita,3.5,0.5,4.0,1.5,1.0,other,2.8
anda curry,13.0,2.2,3.0,2.0,1.0,protein,3.8
andhra chicken curry,25.0,1.5,3.0,1.0,1.0,protein,5.1
boiled egg,13.0,1.8,0.0,2.0,0.0,protein,3.7
butter chicken,22.0,1.8,3.0,3.0,0.5,protein,4.7
cheese sandwich,9.0,1.5,2.0,3.0,2.0,protein,3.6
chettinad chicken,26.0,1.5,3.0,1.0,1.0,protein,5.2
chicken,27.0,1.3,0.0,1.0,0.0,protein,5.1
chicken biryani hyderabadi,12.0,2.5,3.0,1.0,2.5,protein,4.0
chicken burger,15.0,2.5,2.0,1.0,2.5,protein,4.3
chicken burger deluxe,18.0,3.0,3.0,2.0,2.5,protein,4.6
chicken chilli,14.0,2.0,4.0,1.0,2.5,protein,4.2
chicken clear soup,6.0,1.5,2.0,1.0,0.5,protein,3.0
chicken club sandwich,15.0,2.0,3.0,1.0,2.5,protein,4.3
chicken curry,25.0,1.5,4.0,1.0,1.0,protein,5.1
chicken curry south indian,25.0,1.5,4.0,1.0,1.0,protein,5.1
chicken fried momos,10.0,2.0,3.0,1.0,2.5,protein,3.8
chicken fried rice chinese,10.0,2.0,3.0,1.0,2.0,protein,3.7
chicken fry south indian,27.0,1.5,3.0,1.0,1.0,protein,5.3
chicken hot dog,14.0,2.5,3.0,1.0,2.5,protein,4.2
chicken kebab,26.0,1.5,2.0,1.0,0.5,protein,5.1
chicken korma,20.0,1.7,4.0,2.0,1.0,protein,4.6
chicken lasagna,12.0,2.5,4.0,2.0,3.0,protein,4.1
chicken macaroni,11.0,2.0,3.0,1.0,2.5,protein,3.9
chicken manchurian,14.0,2.0,3.0,1.0,2.5,protein,4.2
chicken masala,24.0,1.6,3.0,1.5,1.0,protein,5.0
chicken momos,10.0,2.0,2.0,1.0,2.0,protein,3.7
chicken nachos,12.0,2.5,3.0,2.0,2.5,protein,4.0
chicken noodles,10.0,2.0,2.0,1.0,2.0,protein,3.7
chicken noodles chinese,10.0,2.0,3.0,1.0,2.5,protein,3.8
chicken pasta,12.0,2.0,3.0,1.0,2.5,protein,4.0
chicken pizza,15.0,3.0,3.0,2.0,2.5,protein,4.3
chicken puff,9.0,2.0,2.0,1.0,2.0,protein,3.6
chicken quesadilla,14.0,2.5,4.0,2.0,3.0,protein,4.3
chicken roll,12.0,2.0,3.0,1.0,2.5,protein,4.0
chicken sandwich,12.0,2.0,3.0,1.0,2.5,protein,4.0
chicken shawarma,15.0,2.0,3.0,1.0,2.5,protein,4.3
chicken soup,6.0,1.5,2.0,1.0,0.5,protein,3.0
chicken spring roll,9.0,2.0,3.0,1.0,2.5,protein,3.7
chicken steamed momos,10.0,2.0,3.0,1.0,2.0,protein,3.7
chicken sukka,27.0,1.5,3.0,1.0,1.0,protein,5.3
chicken supreme pizza,18.0,3.0,4.0,2.0,2.5,protein,4.6
chicken taco,13.0,2.5,4.0,1.0,2.5,protein,4.1
chicken tikka,25.0,1.5,2.0,1.0,0.0,protein,4.9
chicken uttapam,10.0,2.0,3.0,1.0,3.0,protein,3.8
chicken wrap,14.0,2.0,3.0,1.0,2.5,protein,4.2
crab curry,20.0,3.0,2.0,5.0,1.0,protein,4.6
crab masala,20.0,3.0,2.0,5.0,1.0,protein,4.6
egg,13.0,1.8,0.0,2.0,0.0,protein,3.7
egg bhurji,12.0,2.0,2.0,2.0,0.5,protein,3.7
egg biryani hyderabadi,8.0,2.0,4.0,1.5,2.5,protein,3.6
egg club sandwich,13.0,2.0,2.0,1.5,2.5,protein,4.1
egg curry,12.0,2.0,3.0,2.0,1.0,protein,3.7
egg curry south indian,12.0,2.0,4.0,2.0,1.5,protein,3.8
egg fried rice chinese,7.0,1.8,3.0,1.0,2.0,protein,3.4
egg fry,13.0,2.0,0.0,2.0,0.0,protein,3.7
egg idiyappam,5.0,1.2,1.0,1.0,1.5,protein,3.1
egg masala,11.0,2.0,3.0,2.0,1.5,protein,3.7
egg noodles chinese,7.0,1.8,3.0,1.0,2.5,protein,3.4
egg puff,7.0,1.8,2.0,1.5,2.0,protein,3.4
egg roll,10.0,2.0,2.0,1.5,2.0,protein,3.7
egg sandwich,10.0,2.0,2.0,1.5,2.0,protein,3.7
egg wrap,12.0,2.0,2.0,1.5,2.0,protein,3.9
fish,22.0,1.0,0.0,10.0,0.0,protein,4.6
fish curry,20.0,1.2,3.0,8.0,1.0,protein,4.5
fish curry kerala,20.0,1.5,3.0,8.0,1.0,protein,4.5
fish curry south indian,21.0,1.2,3.0,8.0,1.0,protein,4.6
fish fry,23.0,1.2,2.0,5.0,0.0,protein,4.7
fish fry kerala,22.0,1.2,2.0,8.0,0.5,protein,4.7
fish masala,22.0,1.2,3.0,8.0,1.0,protein,4.7
fish tikka,22.0,1.1,2.0,6.0,0.0,protein,4.6
grilled chicken,30.0,1.2,0.0,1.0,0.0,protein,5.4
kadai paneer,10.0,1.8,8.0,3.0,1.5,protein,3.6
keema curry,23.0,2.5,2.0,2.0,1.0,protein,4.9
keema fry,24.0,2.5,2.0,2.0,1.0,protein,5.0
meen fry,22.0,1.2,2.0,7.0,0.0,protein,4.6
mutton,25.0,2.5,0.0,2.0,0.0,protein,4.9
mutton biryani hyderabadi,13.0,3.0,3.0,2.0,2.5,protein,4.1
mutton bone soup,7.0,2.5,2.0,1.0,0.5,protein,3.2
mutton curry,23.0,2.7,2.0,2.0,1.0,protein,4.9
mutton curry south indian,25.0,2.5,2.0,2.0,1.0,protein,5.1
mutton fry,25.0,2.5,2.0,2.0,0.5,protein,5.0
mutton fry south indian,25.0,2.5,2.0,2.0,1.0,protein,5.1
mutton rogan josh,24.0,2.5,2.0,2.0,0.5,protein,4.9
mutton soup,7.0,2.0,2.0,1.0,0.5,protein,3.1
omelette,11.0,1.7,0.0,2.0,0.0,protein,3.5
palak paneer,11.0,2.5,15.0,3.5,2.0,protein,3.9
paneer bhurji,11.0,2.0,5.0,3.5,1.0,protein,3.6
paneer burger,12.0,2.0,3.0,2.0,2.5,protein,4.0
paneer burger deluxe,14.0,2.5,4.0,3.0,2.5,protein,4.2
paneer butter masala,10.0,1.5,5.0,4.0,1.0,protein,3.5
paneer chilli,11.0,2.0,5.0,3.0,2.5,protein,3.9
paneer club sandwich,12.0,2.0,4.0,2.0,3.0,protein,4.0
paneer curry north indian,13.0,2.0,4.0,3.0,2.5,protein,4.1
paneer cutlet,9.0,2.0,6.0,2.0,2.5,protein,3.7
paneer fried momos,9.0,2.0,4.0,2.0,2.5,protein,3.7
paneer fried rice,8.0,2.0,4.0,2.0,2.5,protein,3.6
paneer hot dog,12.0,2.0,4.0,2.0,2.5,protein,4.0
paneer kebab,14.0,2.0,3.0,3.0,2.0,protein,4.1
paneer manchurian,10.0,2.0,4.0,3.0,2.5,protein,3.8
paneer momos,9.0,2.0,2.0,2.0,2.0,protein,3.6
paneer pakora,9.0,2.0,2.0,2.0,1.5,protein,3.5
paneer paratha,9.0,2.0,3.0,2.0,3.0,protein,3.7
paneer pasta,11.0,2.0,4.0,2.0,2.5,protein,3.9
paneer pizza,13.0,2.5,4.0,3.0,2.5,protein,4.1
paneer quesadilla,13.0,2.5,4.0,3.0,3.0,protein,4.2
paneer roll,10.0,2.0,4.0,2.0,3.0,protein,3.8
paneer sandwich,10.0,2.0,5.0,2.0,2.5,protein,3.8
paneer spring roll,8.0,2.0,4.0,2.0,2.5,protein,3.6
paneer steamed momos,9.0,2.0,4.0,2.0,2.0,protein,3.6
paneer supreme pizza,15.0,2.5,5.0,3.0,2.5,protein,4.3
paneer taco,12.0,2.0,5.0,2.0,3.0,protein,4.1
paneer tikka,12.0,1.5,4.0,3.0,1.0,protein,3.7
